Product ID,Name,Page URL,Description,Image URL,Count in Stock,Price,Sale Price,Currency,Thumb Image URL,Category,Product Type,Dimensions,Brand,Subcategory,Label,Keywords,Color,Gender,Material,Locale,Discount,Destination City,Destination Country
UID253001,First Hotel Paris Tour Eiffel,"https://cvc.com.br/hotel/detail/paris-ile-de-france-franca/first-hotel-paris-tour-eiffel?HotelId=UID253001&CheckIn=2026-12-22&CheckOut=2026-12-26&Location=Paris%20-%20%C3%8Ele-de-France%20,%20Fran%C3%A7a&ZoneId=33830&Rooms=1&Adults=2&Children=0&ChildAges=&Latitude=48.8474918&Longitude=2.3023175&City=Paris&State=Ile%20De%20France&Country=Franca&Hotel=First%20Hotel%20Paris%20Tour%20Eiffel&iata=&position=1&packageGroup=STANDALONE&price=1451.5",Hotel First Hotel Paris Tour Eiffel em PARIS,https://tools-images.services.cvc.com.br/resize?width=827&height=485&type=auto&quality=80&url=https%3A%2F%2Fi.travelapi.com%2Flodging%2F1000000%2F50000%2F41100%2F41081%2Feeb39ad6_z.jpg,9999,1082.35,920.00,BRL,https://tools-images.services.cvc.com.br/resize?width=827&height=485&type=auto&quality=80&url=https%3A%2F%2Fi.travelapi.com%2Flodging%2F1000000%2F50000%2F41100%2F41081%2Feeb39ad6_z.jpg,HOTEL_INTERNACIONAL,HOTEL,,CVC,"PARIS, FRANÇA",hotel,First Hotel Paris Tour Eiffel; PARIS; FRANÇA; hotel; internacional,,,,pt-BR,0.15,PARIS,FRANÇA
UID27235,Casa Nogales,"https://www.cvc.com.br/hotel/detail/santiago-region-metropolitana-chile/hotel-nogales-by-tempo-rent?&CheckIn=2026-09-20&CheckOut=2026-09-24&Location=Santiago%20-%20Region%20Metropolitana%20,%20Chile&ZoneId=9919&HotelId=UID27235&Rooms=1&Adults=2&Children=0&ChildAges=&Latitude=-33.4269517&Longitude=-70.6047097&City=Santiago&State=Santiago&Country=Chile&Hotel=Hotel%20Nogales%20By%20Tempo%20Rent&iata=&position=1",Hotel Casa Nogales em SANTIAGO,https://tools-images.services.cvc.com.br/resize?width=827&height=485&type=auto&quality=80&url=https%3A%2F%2Fi.travelapi.com%2Flodging%2F1000000%2F50000%2F41100%2F41081%2Feeb39ad6_z.jpg,9999,196.88,157.50,BRL,https://tools-images.services.cvc.com.br/resize?width=827&height=485&type=auto&quality=80&url=https%3A%2F%2Fi.travelapi.com%2Flodging%2F1000000%2F50000%2F41100%2F41081%2Feeb39ad6_z.jpg,HOTEL_INTERNACIONAL,HOTEL,,CVC,"SANTIAGO, CHILE",hotel,Casa Nogales; SANTIAGO; CHILE; hotel; internacional,,,,pt-BR,0.2,SANTIAGO,CHILE
UID301242,San Marco,"https://www.cvc.com.br/hotel/detail/curacao-antilhas-holandesas/san-marco-hotel-casino?&CheckIn=2026-10-10&CheckOut=2026-10-17&Location=Curacao%20-%20%20,%20Antilhas%20Holandesas&ZoneId=19&HotelId=UID301242&Rooms=1&Adults=2&Children=0&ChildAges=&Latitude=12.104662&Longitude=-68.932765&City=Curacao&State=Curacao&Country=Antilhas%20Holandesas&Hotel=San%20Marco%20Hotel%20&%20Casino&iata=&position=2",Hotel San Marco em CURAÇAO,https://tools-images.services.cvc.com.br/resize?width=827&height=485&type=auto&quality=80&url=https%3A%2F%2Fi.travelapi.com%2Flodging%2F1000000%2F50000%2F41100%2F41081%2Feeb39ad6_z.jpg,9999,236.50,212.85,BRL,https://tools-images.services.cvc.com.br/resize?width=827&height=485&type=auto&quality=80&url=https%3A%2F%2Fi.travelapi.com%2Flodging%2F1000000%2F50000%2F41100%2F41081%2Feeb39ad6_z.jpg,HOTEL_INTERNACIONAL,HOTEL,,CVC,"CURAÇAO, CURAÇAO",hotel,San Marco; CURAÇAO; CURAÇAO; hotel; internacional,,,,pt-BR,0.1,CURAÇAO,CURAÇAO
UID328,GRAND PALLADIUM SELECT BAVARO,"https://www.cvc.com.br/hotel/detail/punta-cana-la-altagracia-republica-dominicana/grand-palladium-select-bavaro?&CheckIn=2026-10-20&CheckOut=2026-10-26&Location=Punta%20Cana%20-%20La%20Altagracia%20,%20Republica%20Dominicana&ZoneId=9997&HotelId=UID328&Rooms=1&Adults=2&Children=0&ChildAges=&Latitude=18.694297&Longitude=-68.432715&City=Punta%20Cana&State=Republica%20Dominicana&Country=Republica%20Dominicana&Hotel=Grand%20Palladium%20Select%20B%C3%A1varo&iata=&position=1",Hotel GRAND PALLADIUM SELECT BAVARO em PUNTA CANA,https://tools-images.services.cvc.com.br/resize?width=827&height=485&type=auto&quality=80&url=https%3A%2F%2Fi.travelapi.com%2Flodging%2F1000000%2F50000%2F41100%2F41081%2Feeb39ad6_z.jpg,9999,901.11,811.00,BRL,https://tools-images.services.cvc.com.br/resize?width=827&height=485&type=auto&quality=80&url=https%3A%2F%2Fi.travelapi.com%2Flodging%2F1000000%2F50000%2F41100%2F41081%2Feeb39ad6_z.jpg,HOTEL_INTERNACIONAL,RESORT,,CVC,"PUNTA CANA, REPÚBLICA DOMINICANA",hotel,GRAND PALLADIUM SELECT BAVARO; PUNTA CANA; REPÚBLICA DOMINICANA; hotel; internacional,,,,pt-BR,0.1,PUNTA CANA,REPÚBLICA DOMINICANA
UID359,IBEROSTAR WAVES DOMINICANA,"https://www.cvc.com.br/hotel/detail/punta-cana-la-altagracia-republica-dominicana/iberostar-waves-dominicana?&CheckIn=2026-10-10&CheckOut=2026-10-16&Location=Punta%20Cana%20-%20La%20Altagracia%20,%20Republica%20Dominicana&ZoneId=9997&HotelId=UID359&Rooms=1&Adults=2&Children=0&ChildAges=&Latitude=18.715041&Longitude=-68.452898&City=Punta%20Cana&State=Republica%20Dominicana&Country=Republica%20Dominicana&Hotel=Iberostar%20Waves%20Dominicana&iata=&position=1",Hotel IBEROSTAR WAVES DOMINICANA em PUNTA CANA,https://tools-images.services.cvc.com.br/resize?width=827&height=485&type=auto&quality=80&url=https%3A%2F%2Fi.travelapi.com%2Flodging%2F1000000%2F50000%2F41100%2F41081%2Feeb39ad6_z.jpg,9999,767.78,691.00,BRL,https://tools-images.services.cvc.com.br/resize?width=827&height=485&type=auto&quality=80&url=https%3A%2F%2Fi.travelapi.com%2Flodging%2F1000000%2F50000%2F41100%2F41081%2Feeb39ad6_z.jpg,HOTEL_INTERNACIONAL,RESORT,,CVC,"PUNTA CANA, REPÚBLICA DOMINICANA",hotel,IBEROSTAR WAVES DOMINICANA; PUNTA CANA; REPÚBLICA DOMINICANA; hotel; internacional,,,,pt-BR,0.1,PUNTA CANA,REPÚBLICA DOMINICANA
UID366858,Hyatt Place San Jose / Pinares,"https://www.cvc.com.br/hotel/detail/san-jose-san-jose-costa-rica/hyatt-place-san-jose-pinares?&CheckIn=2026-11-10&CheckOut=2026-11-15&Location=San%20Jose%20-%20San%20Jose%20,%20Costa%20Rica&ZoneId=9942&HotelId=UID366858&Rooms=1&Adults=1&Children=0&ChildAges=&Latitude=9.9108541259431&Longitude=-84.017905487286&City=San%20Jose&State=San%20Jose&Country=Costa%20Rica&Hotel=Hyatt%20Place%20San%20Jose/pinares&iata=&position=1",Hotel Hyatt Place San Jose / Pinares em San José,https://tools-images.services.cvc.com.br/resize?width=827&height=485&type=auto&quality=80&url=https%3A%2F%2Fi.travelapi.com%2Flodging%2F1000000%2F50000%2F41100%2F41081%2Feeb39ad6_z.jpg,9999,505.56,455.00,BRL,https://tools-images.services.cvc.com.br/resize?width=827&height=485&type=auto&quality=80&url=https%3A%2F%2Fi.travelapi.com%2Flodging%2F1000000%2F50000%2F41100%2F41081%2Feeb39ad6_z.jpg,HOTEL_INTERNACIONAL,HOTEL,,CVC,"SAN JOSÉ, COSTA RICA",hotel,Hyatt Place San Jose / Pinares; San José; COSTA RICA; hotel; internacional,,,,pt-BR,0.1,San José,COSTA RICA
UID41028,VILA GALÉ ÓPERA,"https://cvc.com.br/hotel/detail/lisboa-lisboa-portugal/vila-gale-opera?HotelId=UID41028&CheckIn=2026-10-20&CheckOut=2026-10-24&Location=Lisboa%20-%20Lisboa%20,%20Portugal&ZoneId=34301&Rooms=1&Adults=2&Children=0&ChildAges=&Latitude=38.7&Longitude=-9.18056&City=Lisboa&State=Lisboa&Country=Portugal&Hotel=Vila%20Gale%20%C3%93pera&iata=&position=1&packageGroup=STANDALONE&price=1344.64",Hotel VILA GALÉ ÓPERA em Lisboa,https://tools-images.services.cvc.com.br/resize?width=827&height=485&type=auto&quality=80&url=https%3A%2F%2Fi.travelapi.com%2Flodging%2F1000000%2F50000%2F41100%2F41081%2Feeb39ad6_z.jpg,9999,790.59,672.00,BRL,https://tools-images.services.cvc.com.br/resize?width=827&height=485&type=auto&quality=80&url=https%3A%2F%2Fi.travelapi.com%2Flodging%2F1000000%2F50000%2F41100%2F41081%2Feeb39ad6_z.jpg,HOTEL_INTERNACIONAL,HOTEL,,CVC,"LISBOA, PORTUGAL",hotel,VILA GALÉ ÓPERA; Lisboa; PORTUGAL; hotel; internacional,,,,pt-BR,0.15,Lisboa,PORTUGAL
UID41030,TURIM LISBOA,"https://cvc.com.br/hotel/detail/lisboa-lisboa-portugal/turim-lisboa-hotel?HotelId=UID41030&CheckIn=2026-10-20&CheckOut=2026-10-24&Location=Lisboa%20-%20Lisboa%20,%20Portugal&ZoneId=34301&Rooms=1&Adults=2&Children=0&ChildAges=&Latitude=38.7322397&Longitude=-9.1493643&City=Lisboa&State=Lisboa&Country=Portugal&Hotel=Turim%20Lisboa%20Hotel&iata=&position=1&packageGroup=STANDALONE&price=1603.32",Hotel TURIM LISBOA em LISBOA,https://tools-images.services.cvc.com.br/resize?width=827&height=485&type=auto&quality=80&url=https%3A%2F%2Fi.travelapi.com%2Flodging%2F1000000%2F50000%2F41100%2F41081%2Feeb39ad6_z.jpg,9999,831.67,748.50,BRL,https://tools-images.services.cvc.com.br/resize?width=827&height=485&type=auto&quality=80&url=https%3A%2F%2Fi.travelapi.com%2Flodging%2F1000000%2F50000%2F41100%2F41081%2Feeb39ad6_z.jpg,HOTEL_INTERNACIONAL,HOTEL,,CVC,"LISBOA, PORTUGAL",hotel,TURIM LISBOA; LISBOA; PORTUGAL; hotel; internacional,,,,pt-BR,0.1,LISBOA,PORTUGAL
UID48381,OCEAN BLUE & SAND,"https://www.cvc.com.br/hotel/detail/punta-cana-la-altagracia-republica-dominicana/ocean-blue-sand?&CheckIn=2026-10-18&CheckOut=2026-10-24&Location=Punta%20Cana%20-%20La%20Altagracia%20,%20Republica%20Dominicana&ZoneId=9997&HotelId=UID48381&Rooms=1&Adults=2&Children=0&ChildAges=&Latitude=18.7076125869624&Longitude=-68.4468169407452&City=Punta%20Cana&State=Republica%20Dominicana&Country=Republica%20Dominicana&Hotel=Ocean%20Blue%20&%20Sand&iata=&position=4",Hotel OCEAN BLUE & SAND em PUNTA CANA,https://tools-images.services.cvc.com.br/resize?width=827&height=485&type=auto&quality=80&url=https%3A%2F%2Fi.travelapi.com%2Flodging%2F1000000%2F50000%2F41100%2F41081%2Feeb39ad6_z.jpg,9999,959.51,671.66,BRL,https://tools-images.services.cvc.com.br/resize?width=827&height=485&type=auto&quality=80&url=https%3A%2F%2Fi.travelapi.com%2Flodging%2F1000000%2F50000%2F41100%2F41081%2Feeb39ad6_z.jpg,HOTEL_INTERNACIONAL,RESORT,,CVC,"PUNTA CANA, REPÚBLICA DOMINICANA",hotel,OCEAN BLUE & SAND; PUNTA CANA; REPÚBLICA DOMINICANA; hotel; internacional,,,,pt-BR,0.3,PUNTA CANA,REPÚBLICA DOMINICANA
UID549306,Pestana CR7 Funchal Lifestyle Hotels,"https://cvc.com.br/hotel/detail/funchal-madeira-portugal/pestana-cr7-funchal-lifestyle-hotels?HotelId=UID549306&CheckIn=2026-11-03&CheckOut=2026-11-08&Location=Funchal%20-%20Madeira%20,%20Portugal&ZoneId=34302&Rooms=1&Adults=2&Children=0&ChildAges=&Latitude=32.6440211&Longitude=-16.9138416&City=Funchal&State=Madeira&Country=Portugal&Hotel=Pestana%20CR7%20Funchal%20Lifestyle%20Hotels&iata=&position=1&packageGroup=STANDALONE&price=1303.83",Hotel Pestana CR7 Funchal Lifestyle Hotels em FUNCHAL,https://tools-images.services.cvc.com.br/resize?width=827&height=485&type=auto&quality=80&url=https%3A%2F%2Fi.travelapi.com%2Flodging%2F1000000%2F50000%2F41100%2F41081%2Feeb39ad6_z.jpg,9999,724.44,652.00,BRL,https://tools-images.services.cvc.com.br/resize?width=827&height=485&type=auto&quality=80&url=https%3A%2F%2Fi.travelapi.com%2Flodging%2F1000000%2F50000%2F41100%2F41081%2Feeb39ad6_z.jpg,HOTEL_INTERNACIONAL,HOTEL,,CVC,"FUNCHAL, PORTUGAL",hotel,Pestana CR7 Funchal Lifestyle Hotels; FUNCHAL; PORTUGAL; hotel; internacional,,,,pt-BR,0.1,FUNCHAL,PORTUGAL
UID59306,"VIRGIN HOTEL lAS vEGAS, CURIO COLLECTION BY HILTON","https://cvc.com.br/hotel/detail/las-vegas-nv-estados-unidos-da-america/virgin-hotels-las-vegas-curio-collection-by-hilton?HotelId=UID59306&CheckIn=2026-10-20&CheckOut=2026-10-23&Location=Las%20Vegas%20-%20NV%20,%20Estados%20Unidos%20da%20America&ZoneId=34885&Rooms=1&Adults=2&Children=0&ChildAges=&Latitude=36.1087944064&Longitude=-115.153759936&City=Las%20Vegas&State=Nevada&Country=Estados%20Unidos%20Da%20America&Hotel=Virgin%20Hotels%20Las%20Vegas%20Curio%20Collection%20by%20Hilton&iata=&position=6&packageGroup=STANDALONE&price=883.38","Hotel VIRGIN HOTEL lAS vEGAS, CURIO COLLECTION BY HILTON em LAS VEGAS",https://tools-images.services.cvc.com.br/resize?width=827&height=485&type=auto&quality=80&url=https%3A%2F%2Fi.travelapi.com%2Flodging%2F1000000%2F50000%2F41100%2F41081%2Feeb39ad6_z.jpg,9999,946.62,378.65,BRL,https://tools-images.services.cvc.com.br/resize?width=827&height=485&type=auto&quality=80&url=https%3A%2F%2Fi.travelapi.com%2Flodging%2F1000000%2F50000%2F41100%2F41081%2Feeb39ad6_z.jpg,HOTEL_INTERNACIONAL,HOTEL,,CVC,"LAS VEGAS, ESTADOS UNIDOS",hotel,"VIRGIN HOTEL lAS vEGAS, CURIO COLLECTION BY HILTON; LAS VEGAS; ESTADOS UNIDOS; hotel; internacional",,,,pt-BR,0.6,LAS VEGAS,ESTADOS UNIDOS
